qstr_cloak_green|capa verde
qstr_{s2}^|{s2}^
qstr_Difficulty_Settings|Configurações de Dificuldade
qstr_DEBUG__TPE_:_{s1}_wa|DEBUG (TPE): {s1} foi encontrado em {s2}, mas a relação era muito neutra para importar.
qstr_Grand_Principality|Grande Principado
qstr_DEBUG__TPE_:_Ranking|DEBUG (TPE): Tentativa de atualizar a caixa de classificação: {s1} com {reg1} pontos.
qstr_DEBUG__TPE_:_Garbage|DEBUG (TPE): Detectado id lixo de tropa.  ICD equilibrado por {reg21}.
qstr_Red_Team|Time Vermelho
qstr_Blue_Team|Time Azul
qstr_Green_Team|Time Verde
qstr_Yellow_Team|Time Amarelo
qstr_DEBUG__TPE_level_sca|DEBUG (TPE ajuste de nível): Ajuste desativado.  Nível padrão do {reg22} definido.
qstr_DEBUG__TPE_:_Troop__|DEBUG (TPE): Tropa - {s31} - Nível+{reg32} = {reg31}
qstr____________>_STR+{re|-----------> FOR+{reg34} = {reg33}, AGI+{reg36} = {reg35}
qstr____________>_Str_Ski|-----------> Habilidades de For {reg37}, Habilidades de Agi {reg38}, Wpt Prof {reg39}
qstr_{s2}_{s1}|{s2} {s1}
qstr_{s1}_of_{s2}|{s1} de {s2}
qstr_points|pontos
qstr_point|ponto
qstr_because_I_said_so|porque eu disse isso
qstr_The_Tournament_Maste|O Mestre de Torneios anuncia: "{s1} recebeu {reg1} {s2} {s3}.
qstr_{s35}{s1}_has_been_a|{s35}{s1} foi concedido a {reg1} {s2} por {s3}. (Total = {reg2})^
qstr_AWARD_GRANTED:_{s1}_|CONQUISTA ALCANÇADA: {s1} recebeu o prêmio LÂMINA VELOZ!
qstr_AWARD_GRANTED:_{s1}_h|CONQUISTA ALCANÇADA: {s1} recebeu o prêmio COMPETIDOR FEROZ ao realizar {reg1} nocautes!
qstr_AWARD_GRANTED:_{s1}_ha|CONQUISTA ALCANÇADA: {s1} aprimorou-se e recebeu o prêmio PRESENÇA MÍTICA.
qstr_AWARD_GRANTED:_{s1}_has|CONQUISTA ALCANÇADA: {s1} aprimorou-se e recebeu o prêmio PRESENÇA LENDÁRIA.
qstr_AWARD_GRANTED:_{s1}_has_|CONQUISTA ALCANÇADA: {s1} recebeu o prêmio PRESENÇA DOMINANTE.
qstr_DEBUG__TPE_:_{s1}_gai|DEBUG (TPE): {s1} ganha 1 ponto.  {reg2} pontos totais.  Valor = {reg1}
qstr_DEBUG__TPE_:_{s1}_gain|DEBUG (TPE): {s1} ganha 2 pontos por sobreviver.  {reg2} pontos totais.  Valor = {reg1}
qstr_{reg1}%_Difficulty|{reg1}% Dificuldade
qstr_DEBUG__TPE_Design_:_I|DEBUG (TPE Design): Item "{s21}" [#{reg21}] guardado no espaço {reg22} do tpe aparência.
qstr_DEBUG__TPE_:_Faction_|DEBUG (TPE): Faction '{s21}' determined by '{s22}'.
qstr_TPE_ERROR!__No_valid|ERRO TPE!  Nenhum facção válida foi determinada para esta cidade.
qstr_DEBUG__GPU_:_Label__|DEBUG (GPU): Rótulo "{s31}" guardado no espaço {reg32}, valor {reg31}.
qstr___{reg1}_{reg2}__|( {reg1}, {reg2} )
qstr_You_whistle_for_your|Você assobia para seu cavalo.
qstr_You_got_keys_of_dung|Você tem as chaves do calabouço.
qstr_Cannot_leave_now.|Não pode sair agora.
qstr_You_have_been_knocke|Você foi nocauteado pelo inimigo. Assista seus homens continuarem a lutar sem você ou pressione Tab para recuar.
qstr_{reg3?{s1}_s_profici|{reg3?{s1} melhorou sua competência em arma de uma mão de {reg2} para {reg1}.:{s1} aumentou sua competência em arma de uma mão para {reg1}.}
qstr_{reg3?{s1}_s_proficie|{reg3?{s1} melhorou sua competência em arma de duas mãos de {reg2} para {reg1}.:{s1} aumentou sua competência em arma de duas mãos para {reg1}.}
qstr_{reg3?{s1}_s_proficien|{reg3?{s1} melhorou sua competência em arma de haste de {reg2} para {reg1}.:{s1} aumentou sua competência em arma de haste para {reg1}.}
qstr_{reg3?{s1}_s_proficienc|{reg3?{s1} melhorou sua competência em arcos de {reg2} para {reg1}.:{s1} aumentou sua competência em arcos para {reg1}.}
qstr_{reg3?{s1}_s_proficiency|{reg3?{s1} melhorou sua competência em bestas de {reg2} para {reg1}.:{s1} aumentou sua competência em bestas para {reg1}.}
qstr_{reg3?{s1}_s_proficiency_|{reg3?{s1} aumentou sua competência em arma de arremesso de {reg2} para {reg1}.:{s1} aumentou sua competência em arma de arremesso para {reg1}.}
qstr_Damage_type_{reg1}|Tipo de dano {reg1}
qstr_>>>_{s0}_decapitated|>>> {s0} decapitou {s1}!
qstr_Everyone_you_know_wh|Todos, vocês sabem o que fazer. Para suas posições!
qstr_{reg2?You:Your_mount|{reg2?Você:Sua montaria} recebeu {reg1} pontos de dano extra!
qstr_{reg2?You_strike:You|{reg2?Você causou:Seu cavalo causou} {reg1} pontos de dano extra!
qstr_Your_horse_received_|Seu cavalo recebeu {reg1} pontos de dano de uma lança apoiada!
qstr_Braced_{s1}_dealt_{r|{s1} apoiada causou {reg1} pontos de dano!
qstr_Bracing_{s1}_for_cha|{s1} sendo apoiada para ataque.
qstr_Releasing_from_brace|Retirando do apoio.
qstr_...and_attack_enemy_|... e ataca divisão inimiga de {s1}!
qstr_{s2}:_returning_afte|{s2}: retornando após destruir a divisão inimiga de {s1}.
qstr_You_must_stay_behind|Você deve permanecer atrás da linha! O ponto não foi considerado.
qstr_End_the_sparring_mat|Terminar a partida de treinamento?
qstr_Do_you_wish_to_give_|Você deseja desistir da luta?
qstr_You_ve_lost_a_total_|Você perdeu um número total de {reg2} duelos.
qstr_You_gained_1_renown.|Você ganhou 1 de renome.
qstr_Your_opponent_was_mu|Seu oponente era muito fraco, então você não ganhou renome.
qstr_You_ve_won_a_total_n|Você ganhou um número total de {reg2} duelos.
qstr_You_lost__2_renown.|Você perdeu -2 de renome.
qstr_Your_opponent_was_muc|Seu oponente era muito forte, então você não perdeu renome.
qstr_Tutorial|Tutorial
qstr_No_one|Ninguém
qstr_DEBUG__Weapon_AI_:_{|DEBUG (Ia da Arma): o inimigo mais próximo de {s2} é {s1} a uma distância de {reg0}.
qstr_DEBUG__TPE_:_{s2}_is|DEBUG (TPE): {s2} está empunhando uma lança a pé e descarta o escudo.
qstr_AWARD_GRANTED:_{s1}_has_e|CONQUISTA ALCANÇADA: {s1} recebeu o prêmio APROXIMAÇÃO CAUTELOSA!
qstr_You_have_earned_{reg|Você ganhou {reg4} denares por sua sábia aposta nesta rodada.
qstr_{s31}{reg32}|{s31}{reg32}
qstr_Match_Time___{reg31}|Tempo de Partida - {reg31}:{s32}
qstr_Stalemate_Timer___0:|Tempo de Preparação - 0:{s32}
qstr_{s31}|{s31}
qstr_DEBUG__TPE_:_Stalema|DEBUG (TPE): Tempo de preparação resetado.  Ataque registrado aos {reg1} segundos.
qstr_red|vermelho
qstr_blue|azul
qstr_green|verde
qstr_yellow|amarelo
qstr_The_Tournament_Master|O Mestre de Torneios anuncia: "Ponto concedido ao time {s1} por nocautear um oponente.
qstr_Your_ally_{s1}_deliv|Seu aliado, {s1}, causou {reg1} pontos de dano em {s2}. ({s31})
qstr_taunts|provocações
qstr_You_shall_be_walking|Você estará voltando para casa depois que eu terminar com aquela sua bolsa!
qstr_bellows|fole
qstr_Just_who_s_side_are_|De que lado você está?
qstr__at_| no 
qstr_{s1}_{s2}__{s3}_{s4}|{s1} {s2}, "{s3}"{s4}{s5}.*
qstr_You_have_fallen_duri|Você caiu, mas poderá continuar na próxima rodada quando esta terminar.
qstr_You_may_move_your_ca|Você pode mover a câmera usando as setas do mouse.
qstr_DEBUG__TPE_:_Horse__|DEBUG (TPE): Cavalo "{s32}" #{reg31} está sem cavaleiro e será removido.
qstr_DEBUG__TPE_AI_:_{s2}|DEBUG (TPE IA): {s2} recebe {reg2} pontos de dano reduzidos de {reg1}.
qstr_DEBUG__TPE_AI_:_{s2}_|DEBUG (TPE IA): {s2} causa {reg2} pontos de dano aumentados de {reg1}.
qstr_Do_you_wish_to_exit?|Deseja sair?  Ao fazer isso todos os competidores sobreviventes ganharam 3 pontos.
qstr_{s27}_Your_party_is_|{s27} Tropas descansadas.
qstr_{s27}_Your_party_is_t|{s27} Tropas cansadas.
qstr_{s27}_Your_party_is_e|{s27} Tropas exaustas.
qstr_{s27}_Your_party_is_v|{s27} Tropas muito exaustas.
qstr_{s27}_Fatigue_resist|{s27} Resistência: {reg3}
qstr__Next_pay_day:_{s1}| Próximo dia de pagamento: {s1}
qstr_{s1}^^Affiliated_to_|{s1}^^Afiliado ao {s5}
qstr_Your_estates_are:_{s|Suas propriedades são: {s8}.^{s9}
qstr_You_came_into_the_wo|Você chegou ao mundo como {reg3?filha:filho} de uma nobre família em decadência, dona unicamente da casa onde residiam. No entanto, apesar das tribulações familiares, sua família pôde lhe pagar uma boa educação, instruindo-lhe desde a infância nos rigores da aristocracia e da vida na corte.
qstr_You_were_born_the_{r|Você nasceu como {reg3?filha:filho} de mercadores ambulantes, sempre indo de um lugar a outro em busca de lucros. Ainda que seus pais fossem mais ricos que muitos e lhe educaram o tanto quanto puderam, você não teve muitas oportunidades para criar laços de amizade com outras pessoas, uma vez que só visitava as aldeias atendendo aos negócios da família.
qstr_As_a_child_your_fami|Quando {reg3?menina:menino}, sua família podia se sustentar austeramente graças ao salário que seu pai recebia como guarda do lorde local. Não foi uma infância fácil, e você era muito pobre para ter acesso a uma boa educação. Aprendeu a defender-se nas ruas, com ou sem uma arma na mão.
qstr_{reg3?daughter:son}|{reg3?filha:filho}
qstr_You_were_the_{reg3?d|Você nasceu no seio de uma família que vivia na floresta, fazendo todo o possível para sobreviver. Caçar, talhar árvores, fabricar flechas, inclusive praticar a caça furtiva quando era necessário. O inverno nunca foi um bom período para sua família, pois com o frio chegavam animais, assim como gente... mas você viveu para ver outro amanhecer dia após dia, embora seus irmãos e irmãs não tenham tido tanta sorte.
qstr_You_were_a_child_of_|Você é {reg3?uma filha:um filho} da estepe. Nasceu em uma tribo de nômades que viviam em acampamentos estendidos pelas áridas pastagens. Assim como outras pessoas da tribo, sua família adorava os cavalos sobre qualquer outra coisa, e lhe ensinaram a cavalgar antes mesmo de aprender a andar.
qstr_As_the_{reg3?daughte|Como {reg3?filha:filho} de um ladrão, você obteve pouca educação formal. Passou a infância na rua, mendigando até que aprendeu a roubar bolsas, e roubando bolsas até que aprendeu a arrombar fechaduras. Todos esses anos, no entanto, lhe ensinaram a defender-se nas ruas, assim como os segredos das cidades e das escuras vielas.
qstr_As_a_{reg3?girl:boy}|Ao abandonar a infância, enviaram-lhe para viver na corte de um dos lordes daquelas terras. Lá você aprendeu a ser humilde, enquanto servia aos senhores e senhoras da casa. Mas foi dos seus jogos de xadrez, das suas conversas e inclusive das suas poesias sobre grandes feitos e amores de corte que você aprendeu tudo sobre o conflito e a competição do mundo dos adultos. Também aprendeu os jogos que outros rapazes praticavam, no qual se golpeavam com paus imitando as espadas dos mais velhos.
qstr_As_a_{reg3?girl:boy}_|Ao deixar sua infância para trás, lhe fizeram aprendiz de artesão para dominar o ofício. Após anos de trabalho duro na oficina de seu mestre, você foi promovido e contratado com pagamento integral, durante todo o tempo que desejar trabalhar com ele.
qstr_As_a_{reg3?girl:boy}_g|Ao deixar sua infância para trás, lhe fizeram aprendiz de um mercador local, aprendendo o ofício durante anos de trabalho nas tendas e caravanas. Com isso, dominou a arte de comprar barato, vender caro e deixar o cliente satisfeito pensando que havia conseguido um bom preço.
qstr_As_a_{reg3?girl:boy}_gr|Ao deixar sua infância para trás, você viveu na rua, fazendo o possível para sobreviver dia após dia. Mendigando, roubando e fazendo pequenos trabalhos ilegais para ganhar o pão, você sobreviveu neste mundo violento, sempre um passo à frente da lei e daqueles que lhe desejavam mal.
qstr_As_a_{reg3?girl:boy}_gro|Ao deixar sua infância para trás, você cavalgou pelas estepes em seu cavalo, aprendendo sobre as planícies e o deserto. Embora às vezes tenha passado fome, você se tornou {reg3?uma hábil caçadora:um hábil caçador} e {reg3?exploradora:explorador} destas terras desabitadas. Seu corpo também se enrijeceu graças ao rigor físico que caracteriza a vida de {reg3?uma:um} nômade.
qstr_{reg3?daughter:man}|{reg3?filha:homem}
qstr_Though_the_distincti|Embora a mudança tenha sido repentina, em algum momento você se tornou {reg3?uma mulher:um homem} e o mundo todo pareceu mudar ao seu redor. Quando {o/a} nomearam {reg3?escudeira:escudeiro} de um nobre da corte, você praticou muitas horas com as armas, aprendendo a infligir duros golpes e também a recebê-los. Instruiu-se nas obrigações para com seu senhor e em seus deveres com aqueles que um dia poderiam ser seus vassalos. Mas além de aprender o ideal da cavalaria, também lhe ensinaram as velhas histórias sobre a crueza do poder político, as traições e as usurpações de homens que utilizaram sua inteligência e seu valor para alcançar seus objetivos.
qstr_{reg3?woman:man}|{reg3?mulher:homem}
qstr_Though_the_distinctio|Embora a mudança tenha sido repentina, em algum momento você se tornou {s13}, e o mundo todo pareceu mudar ao seu redor. Você se uniu a um fechado círculo de mulheres na corte, donzelas fazendo coisas de donzelas, de esposas e amantes de homens nobres assim como meninas ainda sem marido. No entanto, mesmo aqui encontrou a maquinaria política, testemunhou as severas lutas das damas por predominância de uma sobre a outra para atrair a atenção dos homens da corte, e rapidamente aprendeu a tirar proveito destas situações. Com isso, você percebeu que poderia influenciar significativamente o mundo, caso se dedicasse à tarefa com um pouco de sutileza...
qstr_Though_the_distinction|Embora a mudança tenha sido repentina, em algum momento você se tornou {s13}, e o mundo todo pareceu mudar ao seu redor. Você se lançou ao mundo sem nada, exceto com seu instrumento nas costas e sua voz. Era uma existência pobre, de muitas noites famintas quando as pessoas não apreciavam sua arte, mas você foi capaz de sobreviver apenas com sua música. Ao longo dos anos, aprendeu a tocar frente a grupos de bêbados nas tavernas, e ganhou experiência para conseguir o que desejava graças à sua lábia.
qstr_Though_the_distinction_|Embora a mudança tenha sido repentina, em algum momento você se tornou {reg3?uma mulher:um homem}, e o mundo todo pareceu mudar ao seu redor. Encontrou-se estudando em uma universidade de uma grande cidade, aprendendo teologia, filosofia e medicina. Mas nem todas as suas lições foram emitidas nas aulas. Às vezes você se aventurava com seus colegas pelas vielas em busca de vinho, mulheres e uma boa luta. No entanto, não deixou de observar como se consertava uma mandíbula quebrada, ou como um cidadão irritado poderia ser persuadido a deixar seu porrete e aceitar uma compensação em dinheiro pela destruição de sua tenda.
qstr_Though_the_distinction_f|Embora a mudança tenha sido repentina, em algum momento você se tornou {s13}, e o mundo todo pareceu mudar ao seu redor. Atendendo ao chamado da estrada, viajou de aldeia em aldeia comprando e vendendo o que podia. Não foi uma vida rica, mas você aprendeu a barganhar inclusive frente aos anciãos mais miseráveis, conseguindo bons preços. Então intuiu que logo estaria {reg3?pronta:pronto} para começar seu próprio negócio...
qstr_Though_the_distinction_fe|Embora a mudança tenha sido repentina, em algum momento você se tornou {s13}, e o mundo todo pareceu mudar ao seu redor. Começou a trabalhar em uma ferraria, criando objetos belos e úteis a partir do simples metal. Com o tempo você se tornou {reg3?mestra:mestre} de seu ofício, e seu bom trabalho começou a trazer-lhe benefícios. De estômago cheio e com a fornalha ardendo, você contemplou com orgulho o seu trabalho e sua boa reputação.
qstr_Though_the_distinction_fel|Embora a mudança tenha sido repentina, em algum momento você se tornou {s13}, e o mundo todo pareceu mudar ao seu redor. {reg3?Cansada:Cansado} da ambição dos homens pelo dinheiro, se refugiou nas florestas de seu senhor e decidiu fazê-lo com seu roubo de caça, sem atender às leis. Caçou cervos, javalis e gansos, e vendeu suas apreciadas carnes no mercado negro. Talhou árvores sob os narizes dos guardas e as converteu em lenha que aqueceu muitos lares gelados no inverno. Tudo por uma migalha de dinheiro, é claro...
qstr_Only_you_know_exactl|Só você sabe o motivo de ter abandonado sua antiga vida para lançar-se em uma aventura. De qualquer forma, não foi uma decisão difícil, dada a ira de seu coração. Você quer vingança. Quer justiça. O que lhe fizeram não pode ser desfeito, e estas dívidas só podem ser pagas com sangue...
qstr_Only_you_know_exactly|Só você sabe o motivo de ter abandonado sua antiga vida para lançar-se em uma aventura. Tudo o que pode dizer é que não suportava ficar, não com as dolorosas lembranças de seus entes queridos tão próximas. Talvez sua nova vida lhe permita esquecer, ou honrar aqueles que não se atrevem a nomeá-lo...
qstr_Only_you_know_exactly_|Só você sabe o motivo de ter abandonado sua antiga vida para lançar-se em uma aventura. Nem sequer se lembra o porquê de sua casa ter se tornado uma prisão, de quando o familiar transformou-se em mundano, mas os desejos de aventura inundaram sua vida. Já que sonha em chegar a um lugar distante ou simplesmente deseja caminhar livremente e sem rumo, você não poderia suportar permanecer no mesmo lugar. Simplesmente lançou-se em uma jornada, e nunca mais olhou para trás...
qstr_Only_you_know_exactly_w|Só você sabe o motivo de ter abandonado sua antiga vida para lançar-se em uma aventura. No entanto, você sabe que não pode voltar. Não há nada nem ninguém para onde retornar. Seu lar não existe mais e você deve aceitar que terá que enfrentar o mundo {reg3?sozinha:sozinho}, para afogar-se ou sair nadando...
qstr_Only_you_know_exactly_wh|Só você sabe o motivo de ter abandonado sua antiga vida para lançar-se em uma aventura. Para todos os casos, está claro que a única coisa que lhe motiva é seu benefício próprio. Você quer riqueza, poder, que lhe respeitem e que lhe temam. Quer ser a pessoa a quem os outros obedecem. Quer que todos conheçam seu nome e tremam a cada vez que o pronunciarem. Você almeja tudo isso, e não permitirá que ninguém se interponha em seu caminho...
qstr_Back_to_the_beginnin|Voltar ao começo...
qstr_View_next_segment...|Ver próximo segmento...
qstr_^No_food:___{reg7}|^Sem comida:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Dívidas de salário:  -{reg6}
qstr_^Hard_Liquor:__+{reg|^Hard Liquor:  +{reg6}
qstr_Appoint_next_marshal|Nomear próximo marechal
qstr_Award_{s12}_as_fief|Entregue {s12} como feudo
qstr_Selected_faction_is:|A facção selecionada é: {s10}^^{s9}
qstr_Current_party_size_l|O limite atual do exército é {reg5}.^Os modificadores do tamanho do grupo são:^^Tamanho base:  +10^Liderança: {s2}{reg1}^Carisma: {s3}{reg2}^Renome: {s4}{reg3}^TOTAL:  {reg5}
qstr_Your_relation_with_t|Sua relação com as facções é:^{s2}
qstr_Player_renown_is_inc|O renome do jogador aumentou em 100. 
qstr_Player_honor_is_incr|A honra do jogador aumentou em 1 e agora é de {reg7}.
qstr_Player_have_recruite|Jogador recrutou 10 Camponeses Customizáveis.
qstr_Player_have_recruited|Jogador recrutou 10 Tropas de Elite Customizáveis.
qstr_Build_fortifications|Construir fortificações e esperar aqui.
qstr_Return_to_your_forti|Retornar para as suas fortificações.
qstr__You_must_have_tools| Você precisa ter ferramentas no inventário para construir suas fortificações.
qstr_You_have_reached_the|Você chegou ao limite do seu esconderijo!
qstr_{s1}_s_Hideout|Esconderijo {do/da} {s1}
qstr_Hideout_built!|Construir esconderijo!
qstr__You_must_have_tools_| Você precisa ter ferramentas no inventário para construir um esconderijo!
qstr_You_need_3500_denars|Você precisa de 3500 denares para construir um esconderijo!
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?aceitam:aceita} a oferta.
qstr_No_one_accepts_the_o|Ninguém aceita a oferta.
qstr_You_start_reading_{s|Você começa a ler {s2}. Passadas umas páginas, você pressente que poderia aprender muito com este livro e decide mantê-lo perto para lê-lo quando tiver tempo.
qstr_You_flip_through_the|Você passa as páginas de {s2}, mas o texto lhe parece confuso e difícil. Você tenta compreendê-lo, mas termina com dor de cabeça e resolve deixar o livro.
qstr_You_lost_your_duel_a|Você perdeu o duelo mais uma vez ^^{s3}
qstr_You_won_your_duel_ag|Você venceu o duelo mais uma vez ^^{s3}
qstr_You_prepare_to_duel_|Você se prepara para o duelo ^^{s3}
qstr_^^^^You_have_fought_|^^^^Você lutou {s3} {reg5} vezes. ^^Ganhou {reg6} vezes. ^^Perdeu {reg7} vezes
qstr_^^^^Dueling_with_you|^^^^Duelar com suas próprias tropas não irá alterar suas estatísticas de duelo.
qstr_Villagers|Aldeões
qstr_You_have_encountered|Você se encontrou com {s1}.
qstr_You_have_engaged_{s1|Você atacou {s1} enquanto assaltavam {s3}.
qstr_You_were_caught_by_{|{s1} lhe capturou enquanto suas forças assaltavam {s3}.
qstr_{s4}^^The_troops_you|{s4}^^As tropas que você selecionou estão prontas para se juntar à batalha.
qstr_{s4}^^Your_captains_|{s4}^^Seus capitães cuidarão da atribuição de tropas.
qstr_{s4}^^Your_orders_ha|{s4}^^Suas ordens foram enviadas aos seus capitães.
qstr_{s4}^^There_is_no_ta|{s4}^^Não há plano tático definido.
qstr_You_were_victorious!|Vitória!
qstr_Battle_was_lost._You|Suas forças foram esmagadas... Você perdeu a batalha.
qstr_Your_companions_carr|Seus companheiros lhe afastam da luta.
qstr_You_have_defeated_th|Você derrotou o inimigo.
qstr_You_have_retreated_f|Você se retirou da batalha.
qstr_^^Ally_Casualties:{s|^^Baixas aliadas:{s0}
qstr_{s1}_of_{s3}_managed|{s1} do {s3} conseguiu escapar.
qstr_surrendering_your_ar|renderam seu exército
qstr_taking_your_soldiers|capturaram seus soldados e pilharam seus suprimentos (invadirão minha casa roubarão minhas coisas)
qstr_Their_guard_is_down_|Eles baixaram a guarda seguindo sua rendição
qstr_your_defeat|você foi derrotado
qstr_looting_bodies_and_c|pilhando corpos e recolhendo os feridos
qstr_Your_enemies_are_occ|Seus inimigos estão ocupados com a pilhagem
qstr_You_are_caught_attem|Você é peg{o/a} tentando escapar, irritando ainda mais seus captores.
qstr_You_flee_into_the_wi|Você foge para o deserto e escapa de seus captores.
qstr_the_honour_in_surren|a honra de render seu exército para evitar um banho de sangue desnecessário
qstr_your_bravery_and_val|sua bravura e valor em combate
qstr_Some_of_your_tendons|Alguns de seus tendões sofreram danos durante a batalha. Você perde 1 ponto de força.
qstr_You_took_a_nasty_wou|Provocaram-lhe uma ferida grave que lhe faz mancar mesmo depois de curado. Você perde 1 ponto de agilidade.
qstr_You_have_trouble_thi|Depois da batalha você começa a ter problemas para se concentrar, talvez devido a um forte golpe na cabeça, e agora sofre de enxaquecas. Sua inteligência se reduz em 1.
qstr_Perhaps_I_m_getting_|Talvez esteja perdendo minha boa sorte...
qstr_Retirement_is_starti|Esse assunto de retirar-se soa cada vez melhor.
qstr_No_matter!_I_will_pe|Não importa! Eu me manterei firme!
qstr_What_did_I_do_to_des|O que fiz para merecer isto?
qstr_I_suppose_it_ll_make|Suponho que ao menos terei muitas histórias para contar...
qstr_Ally|Aliado
qstr_Friend|Amigo
qstr_Enemy|Inimigo
qstr_Neutral|Neutro
qstr___Currently_{reg1}_p| (Atualmente {reg1} prisioneiros)
qstr_Mines_are_currently_|A mina está lotada. Nós simplesmente não podemos aceitar mais escravos.
qstr_The_prisoners_you_ha|Os prisioneiros que você colocou para trabalharem na mina lhe renderam {reg1} denares essa semana.
qstr_{s9}_wants_you_to_fo|{s9} quer que você siga seu exército até que lhe indique o contrário.
qstr_{s8}_of_{s9}|{s8} do {s9}
qstr_liege|suserano
qstr_former_liege|antigo suserano
qstr_affiliate|afiliado
qstr_former_companion|antigo companheiro
qstr_marshall|marechal
qstr_vassal|vassalo
qstr__Your_own_banner_fli| Seu estandarte ondeia sobre os portões do castelo.
qstr__You_see_the_banner_| Você vê o estandarte de sua {s11} {s7} ondeando sobre os portões do castelo.
qstr__You_see_the_banner_o| Você vê o estandarte do {s7} ondeando sobre os portões do castelo.
qstr__Your_own_banner_flie| Seu estandarte ondeia sobre os portões da cidade.
qstr__You_see_the_banner_of| Você vê o estandarte de sua {s11} {s7} ondeando sobre os portões da cidade.
qstr__You_see_the_banner_of_| Você vê o estandarte do {s7} ondeando sobre os portões da cidade.
qstr_The_{reg6?town_s:cas|Os suprimentos de comida {reg6?da cidade:do castelo} devem durar por mais {reg3} dias.
qstr_The_{reg6?town_s:cast|Os suprimentos de comida {reg6?da cidade:do castelo} esgotaram-se e os defensores estão famintos.
qstr_You_re_preparing_to_|Você se prepara para atacar os muros. Este trabalho deve ser finalizado em {reg9} horas.
qstr_Your_forces_are_buil|Suas forças estão construindo uma torre de cerco. Estimam-se outras {reg9} horas para completar a construção.
qstr_You_are_ready_to_att|Você já pode atacar os muros, se assim desejar.
qstr_The_siege_tower_is_b|A torre de cerco está pronta e você já pode iniciar o ataque.
qstr_You_can_abandon_the_|Você pode abandonar o evento a qualquer momento pressionando TAB
qstr_As_a_last_defensive_|Como última medida defensiva, você se retira para a sala principal da fortaleza. Você e seus últimos soldados lutarão ali desesperadamente. Se forem derrotados, não terão mais nenhum lugar por onde escapar.
qstr_You_ve_been_driven_a|Lhe rejeitaram dos muros. Os atacantes já inundam as ruas. Se você é capaz vencê-los, talvez sua sorte possa mudar.
qstr_You_ve_breached_the_|Você conseguiu atravessar os muros da cidade, mas os obstinados defensores continuam a resistência nas ruas! Você terá que ocupar-se deles antes de poder atacar o coração da fortaleza.
qstr_The_town_centre_is_y|O centro da cidade é seu, mas os últimos defensores se retiraram para o castelo. Para alcançar a vitória, o castelo deverá cair.
qstr_The_remaining_defend|Os últimos defensores se refugiaram no castelo como última barreira. Você deve entrar e esmagar a resistência.
qstr_However_since_you_ar|No entanto, ao não ter jurado lealdade ao {s9}, não há a possibilidade de que ele lhe reconheça como {lorde/lady} {reg8?desta cidade:deste castelo}.
qstr_Milady|Milady
qstr_Milord|Milorde
qstr_The_enemy_has_been_f|O inimigo foi obrigado a se retirar. O assalto foi concluído, mas o cerco continua.
qstr_As_you_approach_you_|À medida que se aproxima no lombo de seu fiel cavalo, você é avistado e reconhecido pelos guardas do castelo, que lhe dão as boas vindas e abrem os portões para {seu/sua} {s10}.
qstr_As_you_approach_you_a|À medida que se aproxima no lombo de seu fiel cavalo, você é avistado e reconhecido pelos guardas do castelo, que lhe dão as boas vindas e abrem os portões para {seu rei/sua rainha}.
qstr_As_you_approach_you_ar|À medida que se aproxima no lombo de seu fiel cavalo, você é avistado e reconhecido pelos guardas do castelo, que lhe dão as boas vindas e abrem os portões para {seu senhor/sua senhora}.
qstr_{s8}_of_{s9}_{s61}_t|{s8} de {s9}, {s61} a você ({reg0})
qstr_{s22}_and_{s21}|{s22} e {s21}
qstr_{reg0?Its_improvement|{reg0?As melhorias são:A melhoria é} {s21}.
qstr_{s25}_They_are_curre|{s25} Atualmente estão construindo {s24}, A construção estará completa em {reg8} dia{reg9?s:}.
qstr__This_village_and_th| Esta aldeia e suas terras adjacentes lhe pertencem.
qstr__You_remember_that_t| Lembre-se que esta aldeia e suas terras adjacentes pertencem a seu {s11} {s7}.
qstr__You_remember_that_th| Lembre-se que esta aldeia e suas terras adjacentes pertencem ao {s7}.
qstr__These_lands_belong_| Estas terras não pertencem a ninguém.
qstr__The_village_is_infe| A aldeia está infestada com {reg8} {s35}.
qstr__The_peasants_hired_| Os aldeões contrataram mercenários e se rebelaram contra você.
qstr_^A_wedding_is_taking|^Um casamento está acontecendo aqui. As pessoas estão cantando e rindo... até te avistarem. A festa de casamento {o/a} confronta com raiva.
qstr__The_village_has_bee| A aldeia foi saqueada. Umas poucas almas se dispersam enquanto você passa por entre as casas queimadas.
qstr__The_village_is_bein| A aldeia está sendo assaltada.
qstr__You_roll_up_your_sl| Você arregaça as mangas e começa a trabalhar.
qstr__Working_as_a_peasan| Trabalhando como um camponês, você perde um pouco de renome.
qstr_{reg1}_peasant_men_j|{reg1} camponeses se juntou a você
qstr_{reg2}_peasant_women|{reg2} camponesas se juntou a você
qstr__You_ve_been_carried| Você foi levado como prisioneiro, seu serviço foi parado.
qstr__The_village_is_being| A aldeia está sendo saqueada, seu serviço foi parado.
qstr__The_village_is_being_| A aldeia está infestada de bandidos, seu serviço foi parado.
qstr__You_have_left_a_goo| Você causou boa impressão, sua relação com esta aldeia foi melhorada.
qstr__{s2}_was_pleased_to| {s2} fiquei feliz em ouvir sobre você.
